,Card Name,Decks,Avg,total copies played,colors,convertedManaCost,manaCost,rarity,types,supertypes,subtypes,power,toughness,text
4841,Wonder,0.004,2,3.456,U,4,{3}{U},uncommon,Creature,,Incarnation,2,2,"Flying
As long as Wonder is in your graveyard and you control an Island, creatures you control have flying."
4853,Worn Powerstone,0.004,2,3.456,,3,{3},uncommon,Artifact,,,,,"Worn Powerstone enters the battlefield tapped.
{T}: Add {C}{C}."
4863,Wretched Gryff,0.004,2,3.456,,7,{7},common,Creature,,"Eldrazi,Hippogriff",3,4,"Emerge {5}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's converted mana cost.)
When you cast this spell, draw a card.
Flying"
4865,Academy Rector,0.002,4,3.456,W,4,{3}{W},rare,Creature,,"Human,Cleric",1,2,"When Academy Rector dies, you may exile it. If you do, search your library for an enchantment card, put that card onto the battlefield, then shuffle your library."
4867,Accumulated Knowledge,0.002,4,3.456,U,2,{1}{U},common,Instant,,,,,"Draw a card, then draw cards equal to the number of cards named Accumulated Knowledge in all graveyards."
4874,Aether Vial,0.002,4,3.456,,1,{1},uncommon,Artifact,,,,,"At the beginning of your upkeep, you may put a charge counter on Aether Vial.
{T}: You may put a creature card with converted mana cost equal to the number of charge counters on Aether Vial from your hand onto the battlefield."
4881,Agonizing Remorse,0.002,4,3.456,B,2,{1}{B},uncommon,Sorcery,,,,,Target opponent reveals their hand. You choose a nonland card from it or a card from their graveyard. Exile that card. You lose 1 life.
4882,Akroan Crusader,0.002,4,3.456,R,1,{R},common,Creature,,"Human,Soldier",1,1,"Heroic â€” Whenever you cast a spell that targets Akroan Crusader, create a 1/1 red Soldier creature token with haste."
4884,Angelsong,0.002,4,3.456,W,2,{1}{W},common,Instant,,,,,"Prevent all combat damage that would be dealt this turn.
Cycling {2} ({2}, Discard this card: Draw a card.)"
4888,Anger of the Gods,0.002,4,3.456,R,3,{1}{R}{R},rare,Sorcery,,,,,"Anger of the Gods deals 3 damage to each creature. If a creature dealt damage this way would die this turn, exile it instead."
4891,Aquamoeba,0.002,4,3.456,U,2,{1}{U},common,Creature,,"Elemental,Beast",1,3,Discard a card: Switch Aquamoeba's power and toughness until end of turn.
4894,Arc-Slogger,0.002,4,3.456,R,5,{3}{R}{R},rare,Creature,,Beast,4,5,"{R}, Exile the top ten cards of your library: Arc-Slogger deals 2 damage to any target."
4895,Arcane Denial,0.002,4,3.456,U,2,{1}{U},common,Instant,,,,,"Counter target spell. Its controller may draw up to two cards at the beginning of the next turn's upkeep.
You draw a card at the beginning of the next turn's upkeep."
4903,Archangel of Tithes,0.002,4,3.456,W,4,{1}{W}{W}{W},mythic,Creature,,Angel,3,5,"Flying
As long as Archangel of Tithes is untapped, creatures can't attack you or a planeswalker you control unless their controller pays {1} for each of those creatures.
As long as Archangel of Tithes is attacking, creatures can't block unless their controller pays {1} for each of those creatures."
4904,Arclight Phoenix,0.002,4,3.456,R,4,{3}{R},mythic,Creature,,Phoenix,3,2,"Flying, haste
At the beginning of combat on your turn, if you've cast three or more instant and sorcery spells this turn, return Arclight Phoenix from your graveyard to the battlefield."
4906,Ashnod's Altar,0.002,4,3.456,,3,{3},uncommon,Artifact,,,,,Sacrifice a creature: Add {C}{C}.
4915,Attunement,0.002,4,3.456,U,3,{2}{U},rare,Enchantment,,,,,"Return Attunement to its owner's hand: Draw three cards, then discard four cards."
4917,Avacynian Priest,0.002,4,3.456,W,2,{1}{W},common,Creature,,"Human,Cleric",1,2,"{1}, {T}: Tap target non-Human creature."
4918,Basking Rootwalla,0.002,4,3.456,G,1,{G},common,Creature,,Lizard,1,1,"{1}{G}: Basking Rootwalla gets +2/+2 until end of turn. Activate this ability only once each turn.
Madness {0} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
4927,Battlewise Hoplite,0.002,4,3.456,"U,W",2,{W}{U},uncommon,Creature,,"Human,Soldier",2,2,"Heroic â€” Whenever you cast a spell that targets Battlewise Hoplite, put a +1/+1 counter on Battlewise Hoplite, then scry 1. (To scry 1, look at the top card of your library, then you may put that card on the bottom of your library.)"
4928,Birthing Pod,0.002,4,3.456,G,4,{3}{G/P},rare,Artifact,,,,,"({G/P} can be paid with either {G} or 2 life.)
{1}{G/P}, {T}, Sacrifice a creature: Search your library for a creature card with converted mana cost equal to 1 plus the sacrificed creature's converted mana cost, put that card onto the battlefield, then shuffle your library. Activate this ability only any time you could cast a sorcery."
4929,Boggart Ram-Gang,0.002,4,3.456,"G,R",3,{R/G}{R/G}{R/G},uncommon,Creature,,"Goblin,Warrior",3,3,"Haste
Wither (This deals damage to creatures in the form of -1/-1 counters.)"
4933,Boros Challenger,0.002,4,3.456,"R,W",2,{R}{W},uncommon,Creature,,"Human,Soldier",2,3,"Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)
{2}{R}{W}: Boros Challenger gets +1/+1 until end of turn."
4937,Boros Reckoner,0.002,4,3.456,"R,W",3,{R/W}{R/W}{R/W},rare,Creature,,"Minotaur,Wizard",3,3,"Whenever Boros Reckoner is dealt damage, it deals that much damage to any target.
{R/W}: Boros Reckoner gains first strike until end of turn."
4941,Bounding Krasis,0.002,4,3.456,"G,U",3,{1}{G}{U},uncommon,Creature,,"Fish,Lizard",3,3,"Flash (You may cast this spell any time you could cast an instant.)
When Bounding Krasis enters the battlefield, you may tap or untap target creature."
4943,Brainstorm,0.002,4,3.456,U,1,{U},common,Instant,,,,,"Draw three cards, then put two cards from your hand on top of your library in any order."
4965,Brothers of Fire,0.002,4,3.456,R,3,{1}{R}{R},common,Creature,,"Human,Shaman",2,2,{1}{R}{R}: Brothers of Fire deals 1 damage to any target and 1 damage to you.
4971,Careful Study,0.002,4,3.456,U,1,{U},common,Sorcery,,,,,"Draw two cards, then discard two cards."
4974,Carnophage,0.002,4,3.456,B,1,{B},common,Creature,,Zombie,2,2,"At the beginning of your upkeep, tap Carnophage unless you pay 1 life."
4979,Carrier Thrall,0.002,4,3.456,B,2,{1}{B},uncommon,Creature,,Vampire,2,1,"When Carrier Thrall dies, create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}."""
4981,Cartouche of Knowledge,0.002,4,3.456,U,2,{1}{U},common,Enchantment,,"Aura,Cartouche",,,"Enchant creature you control
When Cartouche of Knowledge enters the battlefield, draw a card.
Enchanted creature gets +1/+1 and has flying."
4983,Castigate,0.002,4,3.456,"B,W",2,{W}{B},common,Sorcery,,,,,Target opponent reveals their hand. You choose a nonland card from it and exile that card.
4986,Cataclysm,0.002,4,3.456,W,4,{2}{W}{W},rare,Sorcery,,,,,"Each player chooses from among the permanents they control an artifact, a creature, an enchantment, and a land, then sacrifices the rest."
4990,Cauldron Familiar,0.002,4,3.456,B,1,{B},uncommon,Creature,,Cat,1,1,"When Cauldron Familiar enters the battlefield, each opponent loses 1 life and you gain 1 life.
Sacrifice a Food: Return Cauldron Familiar from your graveyard to the battlefield."
4991,Clickslither,0.002,4,3.456,R,4,{1}{R}{R}{R},rare,Creature,,Insect,3,3,"Haste
Sacrifice a Goblin: Clickslither gets +2/+2 and gains trample until end of turn."
4995,Cloud Elemental,0.002,4,3.456,U,3,{2}{U},common,Creature,,Elemental,2,3,"Flying
Cloud Elemental can block only creatures with flying."
5003,Coalition Relic,0.002,4,3.456,,3,{3},rare,Artifact,,,,,"{T}: Add one mana of any color.
{T}: Put a charge counter on Coalition Relic.
At the beginning of your precombat main phase, remove all charge counters from Coalition Relic. Add one mana of any color for each charge counter removed this way."
5006,Coercion,0.002,4,3.456,B,3,{2}{B},common,Sorcery,,,,,Target opponent reveals their hand. You choose a card from it. That player discards that card.
5016,Conqueror's Pledge,0.002,4,3.456,W,5,{2}{W}{W}{W},rare,Sorcery,,,,,"Kicker {6} (You may pay an additional {6} as you cast this spell.)
Create six 1/1 white Kor Soldier creature tokens. If this spell was kicked, create twelve of those tokens instead."
5017,Coordinated Assault,0.002,4,3.456,R,1,{R},uncommon,Instant,,,,,Up to two target creatures each get +1/+0 and gain first strike until end of turn.
5021,Countervailing Winds,0.002,4,3.456,U,3,{2}{U},common,Instant,,,,,"Counter target spell unless its controller pays {1} for each card in your graveyard.
Cycling {2} ({2}, Discard this card: Draw a card.)"
5022,Court Hussar,0.002,4,3.456,U,3,{2}{U},common,Creature,,"Vedalken,Knight",1,3,"Vigilance
When Court Hussar enters the battlefield, look at the top three cards of your library, then put one of them into your hand and the rest on the bottom of your library in any order.
When Court Hussar enters the battlefield, sacrifice it unless {W} was spent to cast it."
5028,Crash Through,0.002,4,3.456,R,1,{R},common,Sorcery,,,,,"Creatures you control gain trample until end of turn. (A creature with trample can deal excess combat damage to the player or planeswalker it's attacking.)
Draw a card."
5031,Dark Confidant,0.002,4,3.456,B,2,{1}{B},rare,Creature,,"Human,Wizard",2,1,"At the beginning of your upkeep, reveal the top card of your library and put that card into your hand. You lose life equal to its converted mana cost."
5035,Dauthi Horror,0.002,4,3.456,B,2,{1}{B},common,Creature,,"Dauthi,Horror",2,1,"Shadow (This creature can block or be blocked by only creatures with shadow.)
Dauthi Horror can't be blocked by white creatures."
5037,Daze,0.002,4,3.456,U,2,{1}{U},common,Instant,,,,,"You may return an Island you control to its owner's hand rather than pay this spell's mana cost.
Counter target spell unless its controller pays {1}."
5044,Defiant Strike,0.002,4,3.456,W,1,{W},common,Instant,,,,,"Target creature gets +1/+0 until end of turn.
Draw a card."
5047,Deranged Hermit,0.002,4,3.456,G,5,{3}{G}{G},rare,Creature,,Elf,1,1,"Echo {3}{G}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When Deranged Hermit enters the battlefield, create four 1/1 green Squirrel creature tokens.
Squirrel creatures get +1/+1."
5051,Desperate Ravings,0.002,4,3.456,R,2,{1}{R},uncommon,Instant,,,,,"Draw two cards, then discard a card at random.
Flashback {2}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
5056,Dimir Cutpurse,0.002,4,3.456,"B,U",3,{1}{U}{B},rare,Creature,,Spirit,2,2,"Whenever Dimir Cutpurse deals combat damage to a player, that player discards a card and you draw a card."
5058,Dire Fleet Daredevil,0.002,4,3.456,R,2,{1}{R},rare,Creature,,"Human,Pirate",2,1,"First strike
When Dire Fleet Daredevil enters the battlefield, exile target instant or sorcery card from an opponent's graveyard. You may cast that card this turn, and you may spend mana as though it were mana of any type to cast that spell. If that card would be put into a graveyard this turn, exile it instead."
5061,Doomed Necromancer,0.002,4,3.456,B,3,{2}{B},rare,Creature,,"Human,Cleric,Mercenary",2,2,"{B}, {T}, Sacrifice Doomed Necromancer: Return target creature card from your graveyard to the battlefield."
5065,"Doran, the Siege Tower",0.002,4,3.456,"B,G,W",3,{W}{B}{G},mythic,Creature,Legendary,"Treefolk,Shaman",0,5,Each creature assigns combat damage equal to its toughness rather than its power.
5071,Dungrove Elder,0.002,4,3.456,G,3,{2}{G},rare,Creature,,Treefolk,*,*,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Dungrove Elder's power and toughness are each equal to the number of Forests you control."
5075,Electrostatic Pummeler,0.002,4,3.456,,3,{3},rare,"Artifact,Creature",,Construct,1,1,"When Electrostatic Pummeler enters the battlefield, you get {E}{E}{E} (three energy counters).
Pay {E}{E}{E}: Electrostatic Pummeler gets +X/+X until end of turn, where X is its power."
5077,Elves of Deep Shadow,0.002,4,3.456,G,1,{G},common,Creature,,"Elf,Druid",1,1,{T}: Add {B}. Elves of Deep Shadow deals 1 damage to you.
5085,Elvish Archdruid,0.002,4,3.456,G,3,{1}{G}{G},rare,Creature,,"Elf,Druid",2,2,"Other Elf creatures you control get +1/+1.
{T}: Add {G} for each Elf you control."
5092,Empyrial Armor,0.002,4,3.456,W,3,{1}{W}{W},common,Enchantment,,Aura,,,"Enchant creature
Enchanted creature gets +1/+1 for each card in your hand."
5099,Enduring Ideal,0.002,4,3.456,W,7,{5}{W}{W},rare,Sorcery,,,,,"Search your library for an enchantment card and put it onto the battlefield. Then shuffle your library.
Epic (For the rest of the game, you can't cast spells. At the beginning of each of your upkeeps, copy this spell except for its epic ability.)"
5100,Explosive Vegetation,0.002,4,3.456,G,4,{3}{G},uncommon,Sorcery,,,,,"Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle your library."
5109,Fallen Askari,0.002,4,3.456,B,2,{1}{B},common,Creature,,"Human,Knight",2,2,"Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)
Fallen Askari can't block."
5112,Familiar's Ruse,0.002,4,3.456,U,2,{U}{U},uncommon,Instant,,,,,"As an additional cost to cast this spell, return a creature you control to its owner's hand.
Counter target spell."
5114,Favored Hoplite,0.002,4,3.456,W,1,{W},uncommon,Creature,,"Human,Soldier",1,2,"Heroic â€” Whenever you cast a spell that targets Favored Hoplite, put a +1/+1 counter on Favored Hoplite and prevent all damage that would be dealt to it this turn."
5115,Fecundity,0.002,4,3.456,G,3,{2}{G},uncommon,Enchantment,,,,,"Whenever a creature dies, that creature's controller may draw a card."
5121,Fiendslayer Paladin,0.002,4,3.456,W,3,{1}{W}{W},rare,Creature,,"Human,Knight",2,2,"First strike (This creature deals combat damage before creatures without first strike.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Fiendslayer Paladin can't be the target of black or red spells your opponents control."
5123,Flame Javelin,0.002,4,3.456,R,6,{2/R}{2/R}{2/R},uncommon,Instant,,,,,"({2/R} can be paid with any two mana or with {R}. This card's converted mana cost is 6.)
Flame Javelin deals 4 damage to any target."
5129,Flashfreeze,0.002,4,3.456,U,2,{1}{U},uncommon,Instant,,,,,Counter target red or green spell.
5136,Flayer Husk,0.002,4,3.456,,1,{1},common,Artifact,,Equipment,,,"Living weapon (When this Equipment enters the battlefield, create a 0/0 black Germ creature token, then attach this to it.)
Equipped creature gets +1/+1.
Equip {2}"
5141,Flinthoof Boar,0.002,4,3.456,G,2,{1}{G},uncommon,Creature,,Boar,2,2,"Flinthoof Boar gets +1/+1 as long as you control a Mountain.
{R}: Flinthoof Boar gains haste until end of turn. (It can attack and {T} this turn.)"
5143,Font of Mythos,0.002,4,3.456,,4,{4},rare,Artifact,,,,,"At the beginning of each player's draw step, that player draws two additional cards."
5146,Frantic Search,0.002,4,3.456,U,3,{2}{U},common,Instant,,,,,"Draw two cards, then discard two cards. Untap up to three lands."
5153,Ghitu Lavarunner,0.002,4,3.456,R,1,{R},common,Creature,,"Human,Wizard",1,2,"As long as there are two or more instant and/or sorcery cards in your graveyard, Ghitu Lavarunner gets +1/+0 and has haste."
5155,Gift of Paradise,0.002,4,3.456,G,3,{2}{G},common,Enchantment,,Aura,,,"Enchant land
When Gift of Paradise enters the battlefield, you gain 3 life.
Enchanted land has ""{T}: Add two mana of any one color."""
5159,Gigadrowse,0.002,4,3.456,U,1,{U},common,Instant,,,,,"Replicate {U} (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)
Tap target permanent."
5160,Gilded Goose,0.002,4,3.456,G,1,{G},rare,Creature,,Bird,0,2,"Flying
When Gilded Goose enters the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")
{1}{G}, {T}: Create a Food token.
{T}, Sacrifice a Food: Add one mana of any color."
5164,Glistener Elf,0.002,4,3.456,G,1,{G},rare,Creature,,"Elf,Warrior",1,1,Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
5167,Goblin Raider,0.002,4,3.456,R,2,{1}{R},common,Creature,,"Goblin,Warrior",2,2,Goblin Raider can't block.
5172,Goldmeadow Stalwart,0.002,4,3.456,W,1,{W},uncommon,Creature,,"Kithkin,Soldier",2,2,"As an additional cost to cast this spell, reveal a Kithkin card from your hand or pay {3}."
5173,Grand Abolisher,0.002,4,3.456,W,2,{W}{W},rare,Creature,,"Human,Cleric",2,2,"During your turn, your opponents can't cast spells or activate abilities of artifacts, creatures, or enchantments."
5176,Grand Architect,0.002,4,3.456,U,3,{1}{U}{U},rare,Creature,,"Vedalken,Artificer",1,3,"Other blue creatures you control get +1/+1.
{U}: Target artifact creature becomes blue until end of turn.
Tap an untapped blue creature you control: Add {C}{C}. Spend this mana only to cast artifact spells or activate abilities of artifacts."
5179,Greater Gargadon,0.002,4,3.456,R,10,{9}{R},rare,Creature,,Beast,9,7,"Suspend 10â€”{R}
Sacrifice an artifact, creature, or land: Remove a time counter from Greater Gargadon. Activate this ability only if Greater Gargadon is suspended."
5182,Hammerhand,0.002,4,3.456,R,1,{R},common,Enchantment,,Aura,,,"Enchant creature
When Hammerhand enters the battlefield, target creature can't block this turn.
Enchanted creature gets +1/+1 and has haste. (It can attack and {T} no matter when it came under your control.)"
5186,Hatred,0.002,4,3.456,B,5,{3}{B}{B},rare,Instant,,,,,"As an additional cost to cast this spell, pay X life.
Target creature gets +X/+0 until end of turn."
5188,Heartless Summoning,0.002,4,3.456,B,2,{1}{B},rare,Enchantment,,,,,"Creature spells you cast cost {2} less to cast.
Creatures you control get -1/-1."
5189,Hellrider,0.002,4,3.456,R,4,{2}{R}{R},rare,Creature,,Devil,3,3,"Haste
Whenever a creature you control attacks, Hellrider deals 1 damage to the player or planeswalker it's attacking."
5192,Hero of Iroas,0.002,4,3.456,W,2,{1}{W},rare,Creature,,"Human,Soldier",2,2,"Aura spells you cast cost {1} less to cast.
Heroic â€” Whenever you cast a spell that targets Hero of Iroas, put a +1/+1 counter on Hero of Iroas."
5194,Hunted Witness,0.002,4,3.456,W,1,{W},common,Creature,,Human,1,1,"When Hunted Witness dies, create a 1/1 white Soldier creature token with lifelink."
5195,Icequake,0.002,4,3.456,B,3,{1}{B}{B},uncommon,Sorcery,,,,,"Destroy target land. If that land was a snow land, Icequake deals 1 damage to that land's controller."
5197,Ichorclaw Myr,0.002,4,3.456,,2,{2},common,"Artifact,Creature",,Myr,1,1,"Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
Whenever Ichorclaw Myr becomes blocked, it gets +2/+2 until end of turn."
5198,Invisible Stalker,0.002,4,3.456,U,2,{1}{U},uncommon,Creature,,"Human,Rogue",1,1,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Invisible Stalker can't be blocked."
5199,Jade Statue,0.002,4,3.456,,4,{4},uncommon,Artifact,,,,,{2}: Jade Statue becomes a 3/6 Golem artifact creature until end of combat. Activate this ability only during combat.
5205,Jushi Apprentice,0.002,4,3.456,U,2,{1}{U},rare,Creature,,"Human,Wizard",1,2,"{2}{U}, {T}: Draw a card. If you have nine or more cards in hand, flip Jushi Apprentice."
5207,Keldon Marauders,0.002,4,3.456,R,2,{1}{R},common,Creature,,"Human,Warrior",3,3,"Vanishing 2 (This creature enters the battlefield with two time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)
When Keldon Marauders enters the battlefield or leaves the battlefield, it deals 1 damage to target player or planeswalker."
5211,Kitchen Finks,0.002,4,3.456,"G,W",3,{1}{G/W}{G/W},rare,Creature,,Ouphe,3,2,"When Kitchen Finks enters the battlefield, you gain 2 life.
Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)"
5217,Knight of Glory,0.002,4,3.456,W,2,{1}{W},uncommon,Creature,,"Human,Knight",2,1,"Protection from black (This creature can't be blocked, targeted, dealt damage, or enchanted by anything black.)
Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)"
5218,Knight of the Reliquary,0.002,4,3.456,"G,W",3,{1}{G}{W},rare,Creature,,"Human,Knight",2,2,"Knight of the Reliquary gets +1/+1 for each land card in your graveyard.
{T}, Sacrifice a Forest or Plains: Search your library for a land card, put it onto the battlefield, then shuffle your library."
5223,Knucklebone Witch,0.002,4,3.456,B,1,{B},rare,Creature,,"Goblin,Shaman",1,1,"Whenever a Goblin you control is put into a graveyard from the battlefield, you may put a +1/+1 counter on Knucklebone Witch."
5224,Kodama's Reach,0.002,4,3.456,G,3,{2}{G},common,Sorcery,,Arcane,,,"Search your library for up to two basic land cards, reveal those cards, and put one onto the battlefield tapped and the other into your hand. Then shuffle your library."
5234,Krark-Clan Ironworks,0.002,4,3.456,,4,{4},uncommon,Artifact,,,,,Sacrifice an artifact: Add {C}{C}.
5236,Kris Mage,0.002,4,3.456,R,1,{R},common,Creature,,"Human,Spellshaper",1,1,"{R}, {T}, Discard a card: Kris Mage deals 1 damage to any target."
5237,Lambholt Pacifist,0.002,4,3.456,G,2,{1}{G},uncommon,Creature,,"Human,Shaman,Werewolf",3,3,"Lambholt Pacifist can't attack unless you control a creature with power 4 or greater.
At the beginning of each upkeep, if no spells were cast last turn, transform Lambholt Pacifist."
5238,Larger Than Life,0.002,4,3.456,G,2,{1}{G},common,Sorcery,,,,,Target creature gets +4/+4 and gains trample until end of turn.
5240,Lava Hounds,0.002,4,3.456,R,4,{2}{R}{R},rare,Creature,,Hound,4,4,"Haste
When Lava Hounds enters the battlefield, it deals 4 damage to you."
5242,Lightning Angel,0.002,4,3.456,"R,U,W",4,{1}{U}{R}{W},rare,Creature,,Angel,3,4,"Flying, vigilance, haste"
5247,Lingering Souls,0.002,4,3.456,W,3,{2}{W},uncommon,Sorcery,,,,,"Create two 1/1 white Spirit creature tokens with flying.
Flashback {1}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
5254,Looter il-Kor,0.002,4,3.456,U,2,{1}{U},common,Creature,,"Kor,Rogue",1,1,"Shadow (This creature can block or be blocked by only creatures with shadow.)
Whenever Looter il-Kor deals damage to an opponent, draw a card, then discard a card."
5256,Mad Auntie,0.002,4,3.456,B,3,{2}{B},rare,Creature,,"Goblin,Shaman",2,2,"Other Goblin creatures you control get +1/+1.
{T}: Regenerate another target Goblin."
5261,Mastery of the Unseen,0.002,4,3.456,W,2,{1}{W},rare,Enchantment,,,,,"Whenever a permanent you control is turned face up, you gain 1 life for each creature you control.
{3}{W}: Manifest the top card of your library. (Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)"
5265,Mausoleum Wanderer,0.002,4,3.456,U,1,{U},rare,Creature,,Spirit,1,1,"Flying
Whenever another Spirit enters the battlefield under your control, Mausoleum Wanderer gets +1/+1 until end of turn.
Sacrifice Mausoleum Wanderer: Counter target instant or sorcery spell unless its controller pays {X}, where X is Mausoleum Wanderer's power."
5267,Mayhem Devil,0.002,4,3.456,"B,R",3,{1}{B}{R},uncommon,Creature,,Devil,3,3,"Whenever a player sacrifices a permanent, Mayhem Devil deals 1 damage to any target."
5268,Merfolk of the Pearl Trident,0.002,4,3.456,U,1,{U},common,Creature,,Merfolk,1,1,
5289,Midnight Haunting,0.002,4,3.456,W,3,{2}{W},uncommon,Instant,,,,,Create two 1/1 white Spirit creature tokens with flying.
5291,Mogg War Marshal,0.002,4,3.456,R,2,{1}{R},common,Creature,,"Goblin,Warrior",1,1,"Echo {1}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When Mogg War Marshal enters the battlefield or dies, create a 1/1 red Goblin creature token."
5297,Myr Incubator,0.002,4,3.456,,6,{6},rare,Artifact,,,,,"{6}, {T}, Sacrifice Myr Incubator: Search your library for any number of artifact cards, exile them, then create that many 1/1 colorless Myr artifact creature tokens. Then shuffle your library."
5299,Myr Superion,0.002,4,3.456,,2,{2},rare,"Artifact,Creature",,Myr,5,6,Spend only mana produced by creatures to cast this spell.
5302,Nebelgast Herald,0.002,4,3.456,U,3,{2}{U},uncommon,Creature,,Spirit,2,1,"Flash (You may cast this spell any time you could cast an instant.)
Flying
Whenever Nebelgast Herald or another Spirit enters the battlefield under your control, tap target creature an opponent controls."
5303,Nexus of Fate,0.002,4,3.456,U,7,{5}{U}{U},mythic,Instant,,,,,"Take an extra turn after this one.
If Nexus of Fate would be put into a graveyard from anywhere, reveal Nexus of Fate and shuffle it into its owner's library instead."
5304,Ninja of the Deep Hours,0.002,4,3.456,U,4,{3}{U},common,Creature,,"Human,Ninja",2,2,"Ninjutsu {1}{U} ({1}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever Ninja of the Deep Hours deals combat damage to a player, you may draw a card."
5313,"Nissa, Who Shakes the World",0.002,4,3.456,G,5,{3}{G}{G},rare,Planeswalker,Legendary,Nissa,,,"Whenever you tap a Forest for mana, add an additional {G}.
[+1]: Put three +1/+1 counters on up to one target noncreature land you control. Untap it. It becomes a 0/0 Elemental creature with vigilance and haste that's still a land.
[âˆ’8]: You get an emblem with ""Lands you control have indestructible."" Search your library for any number of Forest cards, put them onto the battlefield tapped, then shuffle your library."
5320,Nullhide Ferox,0.002,4,3.456,G,4,{2}{G}{G},mythic,Creature,,Beast,6,6,"Hexproof
You can't cast noncreature spells.
{2}: Nullhide Ferox loses all abilities until end of turn. Any player may activate this ability.
If a spell or ability an opponent controls causes you to discard Nullhide Ferox, put it onto the battlefield instead of putting it into your graveyard."
5321,Nyx-Fleece Ram,0.002,4,3.456,W,2,{1}{W},uncommon,"Enchantment,Creature",,Sheep,0,5,"At the beginning of your upkeep, you gain 1 life."
5325,Oath of Druids,0.002,4,3.456,G,2,{1}{G},rare,Enchantment,,,,,"At the beginning of each player's upkeep, that player chooses target player who controls more creatures than they do and is their opponent. The first player may reveal cards from the top of their library until they reveal a creature card. If the first player does, that player puts that card onto the battlefield and all other cards revealed this way into their graveyard."
5331,Oblivion Stone,0.002,4,3.456,,3,{3},rare,Artifact,,,,,"{4}, {T}: Put a fate counter on target permanent.
{5}, {T}, Sacrifice Oblivion Stone: Destroy each nonland permanent without a fate counter on it, then remove all fate counters from all permanents."
5336,Opalescence,0.002,4,3.456,W,4,{2}{W}{W},rare,Enchantment,,,,,Each other non-Aura enchantment is a creature in addition to its other types and has base power and base toughness each equal to its converted mana cost.
5338,Ophidian,0.002,4,3.456,U,3,{2}{U},common,Creature,,Snake,1,3,"Whenever Ophidian attacks and isn't blocked, you may draw a card. If you do, Ophidian assigns no combat damage this turn."
5345,Ordeal of Thassa,0.002,4,3.456,U,2,{1}{U},uncommon,Enchantment,,Aura,,,"Enchant creature
Whenever enchanted creature attacks, put a +1/+1 counter on it. Then if it has three or more +1/+1 counters on it, sacrifice Ordeal of Thassa.
When you sacrifice Ordeal of Thassa, draw two cards."
5346,Order of Leitbur,0.002,4,3.456,W,2,{W}{W},common,Creature,,"Human,Cleric,Knight",2,1,"Protection from black
{W}: Order of Leitbur gains first strike until end of turn.
{W}{W}: Order of Leitbur gets +1/+0 until end of turn."
5353,Order of the White Shield,0.002,4,3.456,W,2,{W}{W},uncommon,Creature,,"Human,Knight",2,1,"Protection from black
{W}: Order of the White Shield gains first strike until end of turn.
{W}{W}: Order of the White Shield gets +1/+0 until end of turn."
5357,Oust,0.002,4,3.456,W,1,{W},uncommon,Sorcery,,,,,Put target creature into its owner's library second from the top. Its controller gains 3 life.
5360,Oxidize,0.002,4,3.456,G,1,{G},uncommon,Instant,,,,,Destroy target artifact. It can't be regenerated.
5364,Parallax Wave,0.002,4,3.456,W,4,{2}{W}{W},rare,Enchantment,,,,,"Fading 5 (This enchantment enters the battlefield with five fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)
Remove a fade counter from Parallax Wave: Exile target creature.
When Parallax Wave leaves the battlefield, each player returns to the battlefield all cards they own exiled with Parallax Wave."
5368,Part the Waterveil,0.002,4,3.456,U,6,{4}{U}{U},mythic,Sorcery,,,,,"Take an extra turn after this one. Exile Part the Waterveil.
Awaken 6â€”{6}{U}{U}{U} (If you cast this spell for {6}{U}{U}{U}, also put six +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.)"
